FITLER,FITLER_SIZE,EDGE,DP,THRESH1,THRESH2,x,y,r,Accurancy
none,3,canny,1.5,30,60,145,109,62,0.392857143
none,3,canny,1.5,30,90,151,109,52,0.535714286
none,3,canny,1.5,30,120,127,46,64,0.464285714
none,3,canny,1.5,50,60,-1,-1,-1,0.464285714
none,3,canny,1.5,50,90,-1,-1,-1,0.464285714
none,3,canny,1.5,50,120,127,46,64,0.607142857
none,3,canny,2,10,30,145,105,76,0.035714286
none,3,canny,2,10,60,79,49,58,0.071428571
none,3,canny,2,10,90,145,111,62,0.178571429
none,3,canny,2,10,120,-1,-1,-1,0.214285714
none,3,canny,2,30,60,79,49,58,0.25
none,3,canny,2,30,90,151,109,50,0.285714286
none,3,canny,2,30,120,131,37,74,0.428571429
none,3,canny,2,50,60,115,39,58,0.321428571
none,3,canny,2,50,90,75,53,70,0.357142857
none,3,canny,2,50,120,131,37,74,0.392857143
none,3,canny,2.5,10,30,156,109,86,0
none,3,canny,2.5,10,60,161,121,80,0
none,3,canny,2.5,10,90,146,46,80,0
none,3,canny,2.5,10,120,196,41,70,0.035714286
none,3,canny,2.5,30,60,146,46,80,0.035714286
none,3,canny,2.5,30,90,74,46,84,0.071428571
none,3,canny,2.5,30,120,196,41,70,0.142857143
none,3,canny,2.5,50,60,76,41,80,0.107142857
none,3,canny,2.5,50,90,-1,-1,-1,0.178571429
none,3,canny,2.5,50,120,146,46,80,0.428571429
none,3,sobel,1.5,-1,-1,116,37,48,0.571428571
none,3,sobel,2,-1,-1,109,45,66,0.214285714
none,3,sobel,2.5,-1,-1,116,39,80,0
none,3,laplacian,1.5,-1,-1,160,104,82,0.357142857
none,3,laplacian,2,-1,-1,-1,-1,-1,0.071428571
none,3,laplacian,2.5,-1,-1,111,46,90,0
none,5,canny,1.5,10,30,145,106,68,0.178571429
none,5,canny,1.5,10,60,145,106,68,0.321428571
none,5,canny,1.5,10,90,145,106,68,0.464285714
none,5,canny,1.5,10,120,127,46,64,0.392857143
none,5,canny,1.5,30,60,145,109,62,0.392857143
none,5,canny,1.5,30,90,151,109,52,0.535714286
none,5,canny,1.5,30,120,127,46,64,0.464285714
none,5,canny,1.5,50,60,-1,-1,-1,0.464285714
none,5,canny,1.5,50,90,-1,-1,-1,0.464285714
none,5,canny,1.5,50,120,127,46,64,0.607142857
none,5,canny,2,10,30,145,105,76,0.035714286
none,5,canny,2,10,60,79,49,58,0.071428571
none,5,canny,2,10,90,145,111,62,0.178571429
none,5,canny,2,10,120,-1,-1,-1,0.214285714
none,5,canny,2,30,60,79,49,58,0.25
none,5,canny,2,30,90,151,109,50,0.285714286
none,5,canny,2,30,120,131,37,74,0.428571429
none,5,canny,2,50,60,115,39,58,0.321428571
none,5,canny,2,50,90,75,53,70,0.357142857
none,5,canny,2,50,120,131,37,74,0.392857143
none,5,canny,2.5,10,30,156,109,86,0
none,5,canny,2.5,10,60,161,121,80,0
none,5,canny,2.5,10,90,146,46,80,0
none,5,canny,2.5,10,120,196,41,70,0.035714286
none,5,canny,2.5,30,60,146,46,80,0.035714286
none,5,canny,2.5,30,90,74,46,84,0.071428571
none,5,canny,2.5,30,120,196,41,70,0.142857143
none,5,canny,2.5,50,60,76,41,80,0.107142857
none,5,canny,2.5,50,90,-1,-1,-1,0.178571429
none,5,canny,2.5,50,120,146,46,80,0.428571429
none,5,sobel,1.5,-1,-1,152,109,56,0.107142857
none,5,sobel,2,-1,-1,149,111,70,0.035714286
none,5,sobel,2.5,-1,-1,151,114,84,0
none,5,laplacian,1.5,-1,-1,101,43,70,0.25
none,5,laplacian,2,-1,-1,141,105,70,0.035714286
none,5,laplacian,2.5,-1,-1,109,44,80,0
none,11,canny,1.5,10,30,145,106,68,0.178571429
none,11,canny,1.5,10,60,145,106,68,0.321428571
none,11,canny,1.5,10,90,145,106,68,0.464285714
none,11,canny,1.5,10,120,127,46,64,0.392857143
none,11,canny,1.5,30,60,145,109,62,0.392857143
none,11,canny,1.5,30,90,151,109,52,0.535714286
none,11,canny,1.5,30,120,127,46,64,0.464285714
none,11,canny,1.5,50,60,-1,-1,-1,0.464285714
none,11,canny,1.5,50,90,-1,-1,-1,0.464285714
none,11,canny,1.5,50,120,127,46,64,0.607142857
none,11,canny,2,10,30,145,105,76,0.035714286
none,11,canny,2,10,60,79,49,58,0.071428571
none,11,canny,2,10,90,145,111,62,0.178571429
none,11,canny,2,10,120,-1,-1,-1,0.214285714
none,11,canny,2,30,60,79,49,58,0.25
none,11,canny,2,30,90,151,109,50,0.285714286
none,11,canny,2,30,120,131,37,74,0.428571429
none,11,canny,2,50,60,115,39,58,0.321428571
none,11,canny,2,50,90,75,53,70,0.357142857
none,11,canny,2,50,120,131,37,74,0.392857143
none,11,canny,2.5,10,30,156,109,86,0
